address,amount
0x1AD6614E80E35e7B45BAa72256F9D1968f65f0eB,0.014
0x52aF81e46033483882ea343bE8bc91f2113f4382,0.014
0x37271A9B59Bb42CB3Eb3c697c7277460E892Da96,0.014
0xcF7c9909770D5FB89b21097076b1A0C90E7F9F16,0.014
0xb44D521c903A06851b64C15B8f04aFd0be9831e7,0.014
0x5B0d1400e83835871EB101881b18cEbAcC3a4424,0.014
0x903938a6eE16fc1c52DC12aa124b23365d720634,0.014
0x32B43bF7EcdBD966437C76F58d39f996961b218C,0.014
0x8926a11f171BA2823a1dfD448a501958A5224A9F,0.014
0xaa330AA9aC87FC20F927E324dD7632C4936dc798,0.014   
0x4f5f55E2a7759A8e38Ee12Fb655C137D941DD9d5,0.014
0x088f626AE6c7C2504c6F2ef3C30B49D55Dc3d524,0.014
0x0Bcf5cAA80E98EABF59010295703643e8cDE5F1F,0.014
0xb0773342C04fEA0AA48751745bDCa0A7768994e1,0.014
0x0d72493f823f7aAD3286F32e0dc1BaD2cacdF9c5,0.014
0x898477ac1db3C5ADd76C8BfdfDe958bB70c5b5d4,0.014
0xf84a513a6Fe97A4492323F775682cC1372892295,0.014
0x80E6f671C42B1c70c26E7108773D884c482DBC07,0.014
0xb643721A4B6A58b80411Bf1fEAB56BF94Eb5442d,0.014
0x35D7C81d3Fc6662182aac763Df94134Bd87Ca13a,0.014
0x10DFb3783726c471Dcb879d053bF43894a63ed23,0.014
0xf979Ec471E360a8d3753EE161e92D4D535aE7b5a,0.014
0x4fB9bc04386442076200AECEc7ac0d050a2d6C03,0.014
0x1a63a7410F08614cAf12Ae9670F8900E256b6b8A,0.014
0x8262d4A9BA226F31066A3B6cA867F23d7c8aeEDB,0.014
0x4b8b1efF6D2c6B9eBe24C37ddB963bf1437e2Edb,0.014
0x6842a12cC2F7F800aB75Ed2A6cf72d7F3B47A956,0.014
0xcE121b9106e7FC1601db3f61Fc732c38ffe7ec10,0.014
0x285c918dDd4Ea5BD30D329F4d4819d390D25d262,0.014
0x2A93030D4Af05751760eE9AD77159D85C265217A,0.014
0xf6dF3287F645dAb99CA738325296B22a92e9DBf5,0.014
0x1D8EFb04772D474Ac41118457468c60DC6b133a0,0.014
0xa408490e45FF11fe3b1FB8BEdF97fd789af3F158,0.014
0x09a0Bbe0BBBEce74Dc35fa5f990f7c06C3F54794,0.014
0x8A005F62618CebeDa9A8d65F0639204Fa921b8BA,0.014
0x3ED11fCFD403664738F6Be32C27c1d1514b8eE75,0.014
0x9a2B9B5cc1696f9a4F88baA4eb7490961A41801F,0.014
0xce3dD72936e420c1176B95B0ede57684BB439B8f,0.014
0x68BD740CCD3ba2a973feD57E91b1725aeF68D334,0.014
0x82dBa1942D03Dcac8AEcd2b865Ec4fED177Aba29,0.014
0xB8E2691b68610508593C5203aFa440f5b2feEf3c,0.014
0xE7eb5B07237912997f4e7Be1BAB6758DD27ef38a,0.014
0xc52145A7Ba6e4a2CdC5Bc51B49A9f785b87d2402,0.014
0x79B02E1Da6c0063Cf532E637C13e3391f261cf01,0.014
0xFD96204b6157A92597d9168a90A894d4A6594d90,0.014
0x6Df95CE3A58E18dEb81A3D8E3cf62169950733E6,0.014
0x98aBDd482660E7c1bda117b6e0e347d411304aaf,0.014
0x907751F2442d269A41a4AD027477543e6Be4791b,0.014
0xc09106b83b88e505C08B5Fce663Af67A8759a066,0.014
0x67d4C772f5a00b8dC4078f8D7084EB7D5C146268,0.014
